#Name,z,z_err,K0(keV.cm^2),K0_err,K100(keV.cm^2),K100_err,alpha,Tx(keV),Tx_err,Lbol(10^44erg/sec),Lbol_err,UL?,LHa(10^40erg/sec),LHa_err,UL?,Lrad(10^40erg/sec),Lrad_err
MKW_04,0.0198,0,6.86,0,392.7,0,1.26,2.16,0,0.029,0,?,,,<,0.024,0
MKW_08,0.027,0,130.68,0,228.51,0,0.87,3.29,0,0.851,0,?,,,<,0.036,0
MS_0015.9+1609,0.541,0,162.07,0,64.17,0,1.29,9.9,0,33.2,0,?,,,<,32.4,0
MS_0116.3-0115,0.0452,0,12.77,0,220.8,0,0.63,1.84,0,,,?,,,=,0.167,0
MS_0440.5+0204,0.19,0,25.46,0,164.03,0,1.11,5.02,0,2.21,0,=,124,0,<,2.24,0
MS_0451.6-0305,0.5386,0,568.13,0,15.61,0,2.81,8.62,0,33.6,0,?,,,<,32.1,0
MS_0735.6+7421,0.216,0,15.96,0,106.79,0,1.14,5.45,0,7.65,0,=,124,0,=,31.8,0
MS_0839.8+2938,0.194,0,19.19,0,105.79,0,1.33,3.8,0,3.13,0,=,64.7,0,=,29.2,0
MS_0906.5+1110,0.163,0,104.23,0,97.32,0,1.15,8.1,0,4.69,0,<,6.38,0,<,2.01,0
MS_1006.0+1202,0.221,0,160.28,0,82.81,0,1.32,7.03,0,4.81,0,<,8.68,0,<,3.14,0
MS_1008.1-1224,0.301,0,97.62,0,262.05,0,0.76,7.47,0,8.53,0,<,19.7,0,<,8.04,0
MS_1455.0+2232,0.259,0,16.88,0,81.47,0,1.39,4.51,0,10.4,0,?,,,=,37.5,0
MS_2137.3-2353,0.313,0,14.68,0,89.85,0,1.39,6.3,0,11.4,0,?,,,=,13.4,0
MS_J1157.3+5531,0.081,0,5.93,0,277.01,0,1.45,2.91,0,0.124,0,?,,,<,0.444,0
NGC_507,0.0164,0,0,0,99.89,0,0.65,1.4,0,0.24,0,?,,,=,0.324,0
NGC_4636,0.0031,0,1.42,0,11962.07,0,1.96,0.66,0,,,?,,,=,0.014,0
NGC_5044,0.009,0,2.28,0,82.15,0,0.96,1.22,0,0.209,0,?,,,=,0.054,0
NGC_5813,0.0066,0,1.38,0,102.51,0,0.91,0.76,0,0.026,0,?,,,=,0.012,0
NGC_5846,0.0057,0,1.83,0,685.78,0,1.44,0.64,0,0.019,0,?,,,=,0.013,0
Ophiuchus,0.028,0,8.95,0,247.48,0,0.73,11.79,0,2.78,0,?,,,=,0.566,0
PKS_0745-191,0.1028,0,12.41,0,110.7,0,1.39,8.5,0,21.6,0,=,28,0,=,700,0
RBS_461,0.029,0,95.67,0,68.8,0,1.39,2.6,0,,,<,0.088,0,=,0.308,0
RBS_533,0.0123,0,2.22,0,164.34,0,1,1.29,0,,,<,0.016,0,=,0.061,0
RBS_797,0.3541,0.00062,19.49,0,97.67,0,1.67,6.43,0,26.3,0,?,,,=,102,0
RCS_J2327-0204,0.2,0,68.55,0,217.2,0,1.28,7.06,0,,,?,,,<,2.51,0
RXCJ0331.1-2100,0.188,0,11.4,0,134.1,0,1.3,4.61,0,,,?,,,=,147,0
RXC_J1023.8-2715,0.0963,0,20.86,0,255.29,0,1.45,8.43,0,,,?,,,?,,
RX_J0220.9-3829,0.2287,0,43,0,159.95,0,1.23,4.86,0,,,?,,,<,3.4,0
RX_J0232.2-4420,0.2836,0,44.62,0,166.53,0,1.16,7.84,0,18.3,0,?,,,<,12.6,0
RX_J0439+0520,0.208,0,14.92,0,95.47,0,1.19,4.63,0,3.61,0,=,68.7,0,=,89.5,0
RX_J0439.0+0715,0.244,0.001,66.75,0,129.57,0,1.06,6.5,0,9.56,0,<,6.65,0,<,4.34,0
RX_J0528.9-3927,0.2632,0,72.85,0,99.8,0,1.47,9.77,0,13.1,0,?,,,=,11.1,0
RX_J0647.7+7015,0.584,0,225.06,0,48.82,0,1.7,9.07,0,26.7,0,?,,,<,39.1,0
RX_J0819.6+6336,0.119,0,20.69,0,170.57,0,0.68,3.9,0,1.12,0,?,,,=,11,0
RX_J1000.4+4409,0.154,0,27.71,0,151.1,0,1.09,3.42,0,,,=,1.3,0,<,1.41,0
RX_J1022.1+3830,0.0491,0,51.6,0,194.76,0,1.04,3.04,0,,,?,,,<,0.124,0
RX_J1130.0+3637,0.06,0,29.93,0,149.6,0,1.14,2.02,0,,,?,,,<,0.188,0
RX_J1320.2+3308,0.036625,0.00026,8.8,0,140.28,0,1.28,1.01,0,,,=,0.212,0,=,2.24,0
RX_J1347.5-1145,0.451,0,12.45,0,179.86,0,1.06,10.88,0,101,0,?,,,=,384,0
RX_J1423.8+2404,0.545,0,10.23,0,119.91,0,1.27,5.92,0,16,0,?,,,=,106,0
RX_J1504.1-0248,0.215,0,13.08,0,95.58,0,1.5,8.9,0,34.9,0,?,,,=,90.2,0
RX_J1532.9+3021,0.345,0,16.93,0,76.31,0,1.51,5.44,0,21,0,=,473,0,=,101,0
